Id,Label
0,366474
1,459853
2,a31311
3,a6732u
4,109521
5,00591u
6,781a8a
7,876105
8,106959
9,896465
10,8940e3
11,107105
12,039556
13,466a23
14,a6865a
15,483904
16,4795a3
17,038273
18,143158
19,758a96
20,317a72
21,843268
22,598183
23,7u66u8
24,038835
25,921348
26,42e59a
27,510532
28,338133
29,070277
30,213061
31,8u0164
32,e1u209
33,573732
34,u635e9
35,080005
36,005326
37,301944
38,142931
39,161e48
40,57e700
41,523428
42,006351
43,059983
44,251894
45,34e15e
46,0e5063
47,47a082
48,513598
49,656006
50,270456
51,156219
52,976296
53,873977
54,406069
55,u00910
56,71u057
57,622891
58,285636
59,358215
60,64e484
61,5896e1
62,667154
63,356346
64,159186
65,329416
66,u37163
67,773477
68,972e34
69,785210
70,948154
71,629519
72,169384
73,473460
74,2u8493
75,179655
76,73e352
77,261601
78,90u128
79,326681
80,118u91
81,413437
82,681310
83,e35928
84,6238e6
85,29502e
86,186909
87,208007
88,721u23
89,930845
90,003638
91,208768
92,095727
93,199620
94,074416
95,365e71
96,031u30
97,67u048
98,7e4352
99,837559
100,532a92
101,430u43
102,683882
103,85595u
104,538461
105,489201
106,2326e7
107,3e2164
108,56858u
109,434232
110,570u72
111,531135
112,683675
113,578329
114,354265
115,579124
116,653470
117,15e640
118,05368a
119,761149
120,117086
121,0a7346
122,268022
123,413867
124,570577
125,081122
126,168569
127,444251
128,8011a4
129,997616
130,82521e
131,368945
132,277015
133,393591
134,399712
135,522418
136,334e86
137,305420
138,44a085
139,737a59
140,327e3u
141,287431
142,824368
143,u09544
144,u10558
145,6a5391
146,765832
147,130900
148,3e4900
149,872582
150,558881
151,681696
152,373163
153,739577
154,139889
155,873538
156,753464
157,2u8741
158,202243
159,225809
160,39633e
161,427058
162,357909
163,206351
164,u03909
165,931u22
166,997a42
167,313955
168,630031
169,581361
170,717639
171,183481
172,193523
173,168570
174,a93489
175,714703
176,296229
177,5712u7
178,980114
179,613311
180,132e74
181,26a072
182,834920
183,277088
184,054e50
185,749846
186,029022
187,836485
188,59357e
189,999066
190,062500
191,6e7030
192,600e08
193,765560
194,234770
195,594607
196,48u17e
197,186613
198,766e02
199,568327
200,563039
201,03uu13
202,509884
203,160846
204,40a163
205,e38225
206,980302
207,844325
208,18a166
209,217a54
210,85a455
211,63021u
212,300320
213,940009
214,687490
215,393074
216,992952
217,036019
218,761584
219,000595
220,a68286
221,38866u
222,042328
223,486820
224,131683
225,u45853
226,a58766
227,71u021
228,9622a7
229,8e0072
230,142297
231,331963
232,981503
233,52e162
234,e5u322
235,693321
236,587087
237,a55797
238,9791u6
239,157812
240,834560
241,9630u9
242,845708
243,897318
244,64a881
245,377467
246,783481
247,911046
248,979304
249,5541e2
250,165664
251,886224
252,134u07
253,4aa94u
254,620315
255,057702
256,e46177
257,03470e
258,714112
259,525746
260,735270
261,262624
262,2a1430
263,974746
264,494e23
265,325732
266,4e7472
267,394480
268,a65688
269,507176
270,461103
271,84397u
272,169a06
273,u08435
274,982874
275,826e76
276,275259
277,8903u4
278,653720
279,8876u4
280,339341
281,971520
282,703959
283,936383
284,562459
285,0ue725
286,155810
287,u83055
288,ee6400
289,423e25
290,205377
291,390750
292,920u54
293,975a69
294,7699a9
295,7u110e
296,a14314
297,312802
298,e68e95
299,463542
300,395134
301,503506
302,534764
303,984917
304,728382
305,752407
306,367174
307,787182
308,703274
309,140394
310,u98407
311,5067u7
312,062272
313,a02030
314,92a99a
315,2u2482
316,524828
317,058875
318,849288
319,a00413
320,041947
321,732929
322,809799
323,79e600
324,519484
325,657537
326,032694
327,32386e
328,186850
329,220847
330,671339
331,133767
332,886025
333,381750
334,169014
335,286239
336,3a8263
337,83200u
338,730179
339,399500
340,69e813
341,020770
342,5e646a
343,15u897
344,298873
345,762135
346,109e84
347,582163
348,98599a
